distance-to-solar-noon,humidity,sky-cover,average-wind-speed-(period),wind-direction,average-pressure-(period)
0.97761194,67.0,0,3.0,29,30.03
0.7089552240000001,64.0,0,3.0,29,30.03
0.440298507,72.0,1,0.0,29,30.06
0.171641791,70.0,0,3.0,29,30.08
0.097014925,54.0,0,0.0,29,30.03
0.365671642,36.5,0,15.0,29,30.0
0.634328358,36.5,0,14.0,29,30.01
0.902985075,42.0,0,0.0,29,30.03
0.980538922,52.0,0,0.0,31,30.03
0.7110778440000001,69.0,1,0.0,31,30.03
0.441616766,81.0,2,0.0,31,30.05
0.1721556889999999,66.0,3,3.0,31,30.06
0.097305389,61.0,1,5.0,31,30.0
0.366766467,36.5,1,11.0,31,29.96
0.636227545,36.5,0,9.0,31,29.97
0.905688623,48.0,0,3.0,31,29.99
0.984962406,62.0,1,10.0,29,29.99
0.7142857140000001,75.0,2,5.0,29,30.0
0.443609023,90.0,2,10.0,29,30.02
0.172932331,68.0,2,6.0,29,30.07
0.097744361,59.0,2,13.0,29,30.02
0.3684210529999999,70.0,2,17.0,29,30.01
0.639097744,83.0,2,11.0,29,30.03
0.909774436,83.0,2,8.0,29,30.06
0.986445783,83.0,3,0.0,27,30.05
0.715361446,83.0,4,7.0,27,30.05
0.444277108,83.0,4,3.0,27,30.08
0.173192771,72.0,2,8.0,27,30.1
0.097891566,72.0,2,21.0,27,30.05
0.3689759039999999,83.0,3,18.0,27,30.05
0.640060241,86.0,4,15.0,27,30.08
0.911144578,83.0,4,10.0,27,30.1
0.987915408,83.0,3,14.0,27,30.12
0.716012085,80.0,4,14.0,27,30.13
0.444108761,80.0,3,9.0,27,30.17
0.172205438,67.0,1,11.0,27,30.2
0.099697885,58.0,2,16.0,27,30.17
0.3716012079999999,70.0,2,17.0,27,30.16
0.643504532,80.0,2,15.0,27,30.17
0.915407855,90.0,1,8.0,27,30.18
0.992412747,86.0,0,3.0,28,30.17
0.7192716240000001,86.0,0,3.0,28,30.17
0.446130501,86.0,3,0.0,28,30.19
0.172989378,75.0,1,0.0,28,30.2
0.100151745,46.0,1,3.0,28,30.13
0.3732928679999999,46.0,1,14.0,28,30.08
0.646433991,45.0,0,13.0,28,30.07
0.919575114,65.0,0,3.0,28,30.08
0.99543379,62.0,0,0.0,14,30.08
